# Rime user dictionary
#@/db_name	wubi86_jidian.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8083
#@/user_id	70ef9364-8391-414d-98f4-a1f5a8757344
gqx 	死	c=1 d=1 t=1269
gs 	末	c=1 d=1 t=1163
gtu 	麦	c=1 d=1 t=3216
gufq 	平均	c=1 d=1 t=4554
gujf 	平时	c=2 d=1 t=4033
guw 	夹	c=1 d=1 t=4345
gwyc 	玲	c=1 d=1 t=4827
gxbu 	互联	c=2 d=1.8825 t=858
gxgu 	毒	c=1 d=1 t=6374
gxsh 	互相	c=1 d=1 t=6111
gy 	玉	c=2 d=1.00878 t=4132
gyt 	班	c=7 d=0.337902 t=8083
gyve 	琅	c=5 d=4.52113 t=2543
h 	上	c=37 d=2.21932 t=8083
haag 	虐	c=1 d=1 t=4480
harn 	虚拟	c=11 d=2.66353 t=7568
hc 	皮	c=1 d=1 t=5716
he 	肯	c=1 d=1 t=3215
hepg 	肯定	c=3 d=1.12666 t=2179
heuj 	瞬间	c=1 d=1 t=5375
hhu 	卡	c=13 d=0.104726 t=8083
hhvi 	目录	c=6 d=4.39336 t=4382
hi 	步	c=3 d=1.99005 t=7567
hicb 	步骤	c=1 d=1 t=1541
hk 	占	c=2 d=1 t=6702
hka 	战	c=1 d=1 t=765
hket 	占用	c=2 d=1.93707 t=2617
hkfm 	点击	c=1 d=1 t=5837
hkhk 	点点	c=1 d=1 t=3640
hko 	点	c=32 d=0.164465 t=8083
hl 	卤	c=1 d=1 t=3384
ho 	眯	c=1 d=1 t=4906
hoy 	眯	c=1 d=1 t=4922
hrnt 	虚拟性	c=1 d=0.100064 t=7562
hsh 	盯	c=1 d=1 t=6247
ht 	睡	c=9 d=0.30192 t=8083
htg 	睡	c=1 d=1 t=5903
hthn 	睡眠	c=1 d=1 t=2093
htip 	睡觉	c=1 d=1 t=6918
hv 	眼	c=1 d=1 t=4096
hve 	眼	c=3 d=1 t=4628
hxf 	些	c=1 d=1 t=5327
hxx 	紫	c=1 d=1 t=819
i 	不	c=163 d=5.36691 t=8083
ia 	江	c=1 d=1 t=5820
iagw 	满	c=3 d=1.00081 t=6286
ibn 	池	c=1 d=1 t=912
ic 	汉	c=2 d=0.25924 t=8083
icfj 	汉朝	c=1 d=1 t=4118
iddc 	源码	c=1 d=1 t=8083
idt 	涛	c=1 d=1 t=2201
iej 	削	c=1 d=1 t=2936
iex 	溪	c=2 d=1.00942 t=3979
if 	法	c=1 d=1 t=8066
ifc 	法	c=7 d=1.75531 t=8083
ifh 	汁	c=1 d=1 t=3385
ifp 	渤	c=2 d=1 t=4093
ige 	清	c=5 d=0.76819 t=8083
igss 	清楚	c=3 d=1.47237 t=5105
ih 	小	c=9 d=1.07369 t=8083
ihey 	涉及	c=1 d=1 t=3611
ihic 	淑	c=1 d=1 t=2577
ihjf 	小时	c=2 d=1.00037 t=4864
ii 	水	c=2 d=1.02004 t=3126
iie 	消	c=2 d=1 t=7208
iii 	水	c=1 d=1 t=1644
iijs 	水果	c=1 d=1 t=6820
iith 	消息	c=2 d=1.59156 t=7434
ijkk 	浏览器	c=1 d=1 t=1843
ijlc 	漫	c=3 d=2.2001 t=1931
ijo 	湿	c=1 d=1 t=2047
im 	没	c=43 d=2.16713 t=8083
imai 	没落	c=7 d=0.092089 t=8083
imc 	没	c=5 d=1.00001 t=5843
imde 	没有	c=19 d=1.07263 t=8083
img 	油	c=3 d=1.04945 t=2710
